"","latitude","longitude"
"1",-22.41233,150.68094
"2",-19.94326,147.91037
"3",-26.20142,146.6532
"4",-22.50325,150.71536
"5",-18.32221,142.46642
"6",-18.31213,142.4303
"7",-32.45906,146.84798
"8",-32.47081,146.84473
"9",-18.32219,142.43402
"10",-37.13226,141.13078
"11",-37.65028,141.29628
"12",-37.12711,141.12611
"13",-37.12687,141.13029
"14",-28.76811,148.1759
"15",-12.17876,136.33385
"16",-12.16357,136.36816
"17",-12.1292,136.33076
"18",-12.32635,136.45607
"19",-12.72093,135.88666
"20",-12.36069,136.6293
"21",-12.75222,135.81462
"22",-12.37098,136.63435
"23",-12.12908,136.33177
"24",-14.73753,141.75244
"25",-14.74425,141.75581
"26",-12.6169,136.446
"27",-12.33137,136.46031
"28",-12.33051,136.45918
"29",-12.60091,135.75438
"30",-13.45857,132.43478
"31",-14.16122,132.83968
"32",-12.06806,134.24979
"33",-12.4054,134.49492
"34",-12.41101,134.50049
"35",-12.06861,134.24489
"36",-13.84218,132.83141
"37",-13.46141,132.40685
"38",-12.48551,135.6759
"39",-12.22305,133.6713
"40",-12.07322,134.26028
"41",-12.06379,134.24637
"42",-12.07004,134.24706
"43",-14.15048,132.82356
"44",-14.1561,132.83763
"45",-12.06236,134.24416
"46",-11.64892,142.3383
"47",-14.28534,143.49857
"48",-14.27173,143.51765
"49",-14.27115,143.52179
"50",-14.27821,143.49751
"51",-16.97808,143.29852
"52",-16.9762,143.28432
"53",-14.26229,143.53308
"54",-14.2594,143.55365
"55",-14.26527,143.53773
"56",-14.26063,143.57065
"57",-14.26005,143.57475
"58",-15.90536,144.62044
"59",-14.27407,143.50111
"60",-14.27349,143.50523
"61",-17.06804,143.36972
"62",-17.07792,143.3804
"63",-14.73822,141.74728
"64",-14.73891,141.74213
"65",-14.73497,141.74159
"66",-17.19667,143.4099
"67",-17.1375,143.40143
"68",-17.0884,143.38655
"69",-14.29008,143.4908
"70",-14.29662,143.49599
"71",-14.31101,143.5144
"72",-17.05505,143.35394
"73",-11.7155,142.03894
"74",-13.36539,141.93051
"75",-13.36091,141.93483
"76",-13.35833,141.95406
"77",-13.35962,141.94447
"78",-15.47827,134.56638
"79",-15.47662,134.58228
"80",-15.48099,134.54012
"81",-15.48954,134.51988
"82",-15.47676,134.51855
"83",-15.49171,134.49896
"84",-15.47191,134.5656
"85",-15.47137,134.57082
"86",-14.93277,133.89902
"87",-15.48218,134.60716
"88",-15.57153,135.0878
"89",-15.49068,134.78026
"90",-15.48389,134.63585
"91",-15.49539,134.52571
"92",-15.48969,134.64169
"93",-15.47659,134.53192
"94",-15.4776,134.52142
"95",-15.47356,134.56339
"96",-15.50694,134.55144
"97",-11.79964,142.16985
"98",-15.49038,134.5228
"99",-15.4854,134.76947
"100",-15.47787,134.58543
"101",-15.50879,134.66258
"102",-15.50799,134.54077
"103",-15.486,134.63382
"104",-15.47255,134.5739
"105",-15.49184,134.63965
"106",-15.49316,134.5605
"107",-15.55467,134.83781
"108",-15.55254,134.83519
"109",-15.51344,134.41455
"110",-15.4865,134.62868
"111",-15.55519,134.83279
"112",-15.66952,134.49544
"113",-15.67485,134.50679
"114",-15.6756,134.50739
"115",-11.80136,142.22342
"116",-15.48044,134.54535
"117",-15.49242,134.5018
"118",-15.49575,134.53394
"119",-15.4973,134.5181
"120",-14.94143,133.92441
"121",-15.47729,134.51332
"122",-15.47407,134.54466
"123",-15.4799,134.55061
"124",-15.47607,134.58762
"125",-15.66242,134.69211
"126",-15.49594,134.52043
"127",-14.95573,133.91438
"128",-14.95626,133.90903
"129",-15.49678,134.52339
"130",-15.49627,134.52867
"131",-15.50747,134.54611
"132",-15.49368,134.55521
"133",-15.49472,134.54454
"134",-15.4942,134.54987
"135",-15.66897,134.50082
"136",-15.66438,134.69298
"137",-15.50593,134.54831
"138",-15.50649,134.543
"139",-15.50705,134.53766
"140",-15.47811,134.51616
"141",-15.47508,134.54762
"142",-15.48079,134.60408
"143",-16.92756,143.15707
"144",-16.9414,143.23254
"145",-16.92935,143.19971
"146",-16.92447,143.18787
"147",-16.9276,143.19302
"148",-16.93073,143.19817
"149",-16.9427,143.25145
"150",-16.94019,143.24173
"151",-16.958,143.16434
"152",-16.94305,143.1622
"153",-16.93931,143.16167
"154",-16.92496,143.15489
"155",-16.92068,143.17969
"156",-16.92819,143.15244
"157",-16.92688,143.18997
"158",-16.92625,143.19458
"159",-16.98046,143.19583
"160",-16.97549,143.20456
"161",-16.97734,143.19067
"162",-16.06009,136.41393
"163",-15.89773,144.59938
"164",-15.89939,144.58762
"165",-15.89994,144.58365
"166",-15.9005,144.57967
"167",-15.90106,144.57571
"168",-15.89427,144.59891
"169",-15.89482,144.59499
"170",-15.89537,144.59106
"171",-15.89592,144.58713
"172",-15.89704,144.57916
"173",-15.89759,144.57521
"174",-15.89302,144.58263
"175",-15.8908,144.59846
"176",-15.89135,144.59453
"177",-15.8919,144.59058
"178",-15.90244,144.61607
"179",-12.06215,142.75487
"180",-13.86335,132.90335
"181",-12.04902,142.76999
"182",-13.8519,132.87323
"183",-13.85258,132.86656
"184",-13.86294,132.90161
"185",-13.95923,132.91772
"186",-13.85278,132.86821
"187",-15.52591,134.42419
"188",-15.52538,134.42961
"189",-15.56289,134.44424
"190",-15.59509,134.461
"191",-15.50957,134.52464
"192",-15.50905,134.52998
"193",-15.50852,134.53542
"194",-15.51804,134.50429
