"","X","date","word","sentiment","n"
"1",1,"2019-11-24","destroy","negative",1990
"2",2,"2020-01-05","smoke","negative",1290
"3",3,"2020-01-04","devastating","negative",1233
"4",4,"2020-01-04","death","negative",1192
"5",5,"2019-11-11","catastrophic","negative",1010
"6",6,"2020-01-07","devastating","negative",960
"7",7,"2020-01-09","devastating","negative",924
"8",8,"2020-01-05","devastating","negative",879
"9",9,"2020-01-09","support","positive",876
"10",10,"2020-01-04","died","negative",829
"11",11,"2020-01-04","crisis","negative",811
"12",12,"2020-01-04","support","positive",795
"13",13,"2020-01-04","killed","negative",788
"14",14,"2020-01-04","silent","positive",784
"15",15,"2020-01-07","smoke","negative",783
"16",16,"2019-11-10","catastrophic","negative",766
"17",17,"2020-01-15","smoke","negative",764
"18",18,"2019-12-10","smoke","negative",756
"19",19,"2020-01-09","killed","negative",731
"20",20,"2020-01-06","devastating","negative",730
"21",21,"2020-01-02","emergency","negative",727
"22",22,"2020-01-07","killed","negative",721
"23",23,"2020-01-02","smoke","negative",716
"24",24,"2020-01-06","support","positive",701
"25",25,"2019-11-12","catastrophic","negative",699
"26",26,"2020-01-06","smoke","negative",694
"27",27,"2020-01-09","monster","negative",680
"28",28,"2020-01-04","dead","negative",671
"29",29,"2020-01-04","lost","negative",667
"30",30,"2020-01-14","smoke","negative",664
"31",31,"2020-01-03","devastating","negative",651
"32",32,"2020-01-04","burning","negative",641
"33",33,"2020-01-04","emergency","negative",638
"34",34,"2020-01-04","worst","negative",637
"35",35,"2020-01-09","lost","negative",637
"36",36,"2020-01-07","support","positive",613
"37",37,"2020-01-05","support","positive",579
"38",38,"2020-01-08","support","positive",517
"39",39,"2020-01-04","hero","positive",489
"40",40,"2020-01-10","support","positive",414
"41",41,"2020-01-09","helping","positive",396
"42",42,"2020-01-09","relief","positive",371
"43",43,"2020-01-09","recovery","positive",360
"44",44,"2020-01-04","safe","positive",348
"45",45,"2019-11-11","safe","positive",343
"46",46,"2020-01-04","favour","positive",343
"47",47,"2020-01-04","love","positive",343
"48",48,"2020-01-04","hottest","positive",329
"49",49,"2020-01-16","relief","positive",324
"50",50,"2019-12-03","monumental","positive",317
"51",51,"2019-12-31","safe","positive",315
"52",52,"2020-01-04","helping","positive",293
"53",53,"2020-01-13","support","positive",292
"54",54,"2020-01-04","beautiful","positive",291
"55",55,"2020-01-11","support","positive",291
"56",56,"2020-01-03","support","positive",286
"57",57,"2019-11-12","safe","positive",280
"58",58,"2020-01-04","amazing","positive",277
"59",59,"2020-01-04","relief","positive",265
"60",60,"2019-12-31","happy","positive",264
"61",61,"2020-01-15","support","positive",257
