"","word1","word2","n"
"1","australian","bushfires",50560
"2","climate","change",30916
"3","australia","bushfires",30686
"4","bushfires","australia",22168
"5","australias","bushfires",17267
"6","devastating","bushfires",8782
"7","nsw","bushfires",8457
"8","affected","bushfires",7676
"9","scott","morrison",6711
"10","south","wales",6566
"11","bushfires","rage",5772
"12","australia","fires",5296
"13","billion","animals",4902
"14","prime","minister",4707
"15","bushfires","climate",4424
"16","auspol","bushfires",4335
"17","catastrophic","bushfires",4134
"18","deadly","bushfires",3982
"19","people","arrested",3715
"20","bushfires","auspol",3596
"21","smoke","bushfires",3574
"22","functionally","extinct",3483
"23","bushfires","destroy",3457
"24","starting","bushfires",3457
"25","bushfires","nsw",3407
"26","kangaroo","island",3277
"27","bushfires","australian",3171
"28","million","animals",3135
"29","koalas","functionally",3080
"30","animals","killed",2987
"31","bushfires","continue",2981
"32","bbc","news",2947
"33","news","australia",2926
"34","200","people",2882
"35","bushfires","bushfires",2853
"36","destroy","80",2755
"37","due","bushfires",2708
"38","half","billion",2682
"39","fighting","bushfires",2642
"40","deliberately","starting",2617
"41","change","bushfires",2610
"42","air","quality",2602
"43","bushfires","drought",2556
"44","bushfires","burning",2530
"45","recent","bushfires",2504
"46","bushfires","amp",2461
"47","500","million",2427
"48","drought","bushfires",2385
"49","royal","commission",2354
"50","fight","bushfires",2348
"51","raging","bushfires",2344
"52","south","coast",2231
"53","impacted","bushfires",2094
"54","nsw","victoria",2092
"55","sign","petition",2081
"56","fires","live",2071
"57","hazard","reduction",2053
"58","abc","news",2015
"59","animals","died",1981
"60","global","warming",1961
"61","bushfires","raging",1936
"62","bushfires","climatechange",1924
"63","blue","mountains",1912
"64","bushfires","burn",1901
"65","koalas","injured",1849
"66","bushfires","smoke",1841
"67","homes","destroyed",1815
"68","unprecedented","bushfires",1810
"69","animals","affected",1801
"70","stay","safe",1795
"71","east","coast",1763
"72","bushfires","caused",1753
"73","bushfires","2019",1745
"74","raise","money",1718
"75","24","people",1648
"76","aussie","bushfires",1643
"77","massive","bushfires",1635
"78","current","bushfires",1626
"79","south","australia",1616
"80","link","bushfires",1614
"81","australias","devastating",1604
"82","climatechange","bushfires",1599
"83","bushfires","push",1590
"84","million","hectares",1563
"85","bushfires","worse",1552
"86","lighting","bushfires",1543
"87","victoria","bushfires",1538
"88","bushfires","australias",1529
"89","red","cross",1522
"90","nsw","queensland",1513
"91","black","saturday",1512
"92","death","toll",1496
"93","bushfires","climateemergency",1468
"94","bushfires","sydney",1468
"95","climate","crisis",1468
"96","start","fires",1464
"97","worst","bushfires",1458
"98","bushfires","started",1429
"99","control","bushfires",1381
"100","killed","australian",1380
"101","killed","bushfires",1380
"102","volunteer","firefighters",1378
"103","bushfires","crisis",1350
"104","queensland","bushfires",1340
"105","species","extinction",1334
"106","affected","australian",1328
"107","climateemergency","bushfires",1290
"108","stop","bushfires",1287
"109","carbon","emissions",1273
"110","climate","policy",1271
"111","rain","finally",1262
"112","emergency","services",1255
"113","east","gippsland",1252
"114","news","australian",1250
"115","climate","action",1247
"116","caused","bushfires",1245
"117","continue","burn",1244
"118","bushfires","im",1237
"119","homes","lost",1225
"120","australia","news",1214
"121","australian","government",1212
"122","border","collie",1209
"123","smoke","haze",1205
"124","nsw","qld",1197
"125","setting","bushfires",1189
"126","smoke","australias",1184
"127","scott","morrisons",1183
"128","countless","species",1179
"129","push","countless",1159
"130","people","affected",1154
"131","deliberately","lit",1152
"132","silent","death",1150
"133","death","australias",1137
"134","island","bushfires",1134
"135","generating","weather",1126
"136","response","bushfires",1126
"137","victims","bushfires",1107
"138","federal","government",1101
