POSTAL_CODE,lat,lon,temp_change,precip_change,humidity_change,wind_change
0200,-35.2776999,149.118527,+25% to +50%,> -50% Change,-10% to -25%,+10% to +25%
0800,-12.3932794,130.7766611,flat to +10%,> -50% Change,flat to +10%,flat to +10%
0810,-12.3675944,130.8677469,flat to +10%,> -50% Change,flat to +10%,flat to +10%
0812,-12.3786651,130.9081831,flat to +10%,> -50% Change,flat to +10%,flat to +10%
0820,-12.4264942,130.8475181,flat to +10%,> -50% Change,flat to +10%,flat to +10%
0822,-11.8763843,131.9196471,flat to +10%,> -50% Change,-10% to -25%,flat to +10%
0828,-12.4265049,130.9485906,flat to +10%,> -50% Change,flat to +10%,flat to +10%
0829,-12.4522272,131.0091482,flat to +10%,> -50% Change,flat to +10%,flat to +10%
0830,-12.3860487,131.0192349,flat to +10%,> -50% Change,flat to +10%,flat to +10%
0831,-12.5924482,131.0702137,flat to +10%,> -50% Change,flat to +10%,flat to +10%
0832,-12.5147979,130.9940148,flat to +10%,> -50% Change,flat to +10%,flat to +10%
0834,-12.5405063,131.0293197,flat to +10%,> -50% Change,flat to +10%,flat to +10%
0835,-12.4779013,131.0696413,flat to +10%,> -50% Change,flat to +10%,flat to +10%
0836,-12.5476127,131.1401349,flat to +10%,> -50% Change,flat to +10%,+10% to +25%
0837,-12.8346029,131.1803774,flat to +10%,> -50% Change,flat to +10%,+10% to +25%
0838,-12.7174085,131.0192349,flat to +10%,> -50% Change,flat to +10%,+10% to +25%
0839,-12.5188645,131.0406631,flat to +10%,> -50% Change,flat to +10%,flat to +10%
0840,-12.1936054,130.5533995,flat to +10%,> -50% Change,flat to +10%,flat to +10%
0841,-12.8357379,130.9788775,flat to +10%,> -50% Change,flat to +10%,+10% to +25%
0845,-13.0785018,131.0625213,flat to +10%,> -50% Change,flat to +10%,+10% to +25%
0846,-13.1748284,131.1401349,flat to +10%,> -50% Change,flat to +10%,+10% to +25%
0847,-13.8380256,131.8004409,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
0850,-14.4253863,132.2559685,+10% to +25%,> -50% Change,-10% to -25%,+10% to +25%
0852,-15.5601817,133.7908453,+10% to +25%,> -50% Change,-10% to -25%,flat to +10%
0853,-14.5473457,132.374164,+10% to +25%,> -50% Change,-10% to -25%,+10% to +25%
0854,-16.0684461,136.3097128,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
0860,-19.6573896,134.1815176,+10% to +25%,> -50% Change,-25% to -50%,flat to +10%
0861,-18.792242,134.03069,+10% to +25%,> -50% Change,-25% to -50%,flat to +10%
0862,-18.9177993,136.516262,+10% to +25%,> -50% Change,-10% to -25%,flat to +10%
0870,-23.7018903,133.8768733,+25% to +50%,> -50% Change,-25% to -50%,flat to +10%
0871,-23.6922711,133.889866,+25% to +50%,> -50% Change,-25% to -50%,flat to +10%
0872,-23.5886632,131.2808577,+25% to +50%,> -50% Change,-25% to -50%,+10% to +25%
0873,-23.7783845,133.8482142,+10% to +25%,> -50% Change,-25% to -50%,flat to +10%
0874,-23.6450332,133.8768733,+25% to +50%,> -50% Change,-25% to -50%,flat to +10%
0875,-23.6933972,133.8338783,+25% to +50%,> -50% Change,-25% to -50%,flat to +10%
0880,-12.1902862,136.7381783,flat to +10%,> -50% Change,flat to -10%,flat to -10%
0881,-12.1855082,136.7728064,flat to +10%,> -50% Change,flat to -10%,flat to -10%
0885,-13.8528647,136.4224871,flat to +10%,> -50% Change,flat to -10%,flat to -10%
0886,-12.6688351,132.8345405,flat to +10%,> -50% Change,flat to -10%,+10% to +25%
1001,-33.8767896,151.2063895,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
1008,-27.9690145,153.4149112,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
1022,-33.8701248,151.2088981,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
1028,-25.274398,133.775136,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
1031,-27.968268,153.415804,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
1035,-27.9674697,153.4163769,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
1038,-27.9680815,153.4158857,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
1046,-27.9686177,153.4157425,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
1100,-37.6828994,144.9192793,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
1116,-37.7852775,145.1257971,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
